Time,Step,Training loss,Validation loss,Full validation loss
15:04:14,114,0.7072,-,-
15:04:12,113,0.3936,-,-
15:04:09,112,0.3649,-,-
15:04:09,111,0.4652,-,-
15:04:07,110,0.4628,-,-
15:04:05,109,0.4874,-,-
15:04:03,108,0.5993,-,-
15:04:03,107,0.7852,-,-
15:04:01,106,0.5910,-,-
15:03:59,105,0.4837,-,-
15:03:57,104,0.4368,-,-
15:03:57,103,0.4630,-,-
15:03:55,102,0.6179,-,-
15:03:53,101,0.5214,-,-
15:03:53,100,0.7466,-,-
15:03:51,99,0.5208,-,-
15:03:49,98,0.7238,-,-
15:03:47,97,0.5039,-,-
15:03:45,96,0.5002,-,-
15:03:45,95,0.8672,-,-
15:03:43,94,0.2911,-,-
15:03:41,93,0.7380,-,-
15:03:39,92,0.5130,-,-
15:03:39,91,0.5936,-,-
15:03:37,90,0.6998,-,-
15:03:35,89,0.9501,-,-
15:03:33,88,0.6778,-,-
15:03:33,87,0.7947,-,-
15:03:31,86,1.4701,-,-
15:03:29,85,1.1939,-,-
15:03:27,84,1.1084,-,-
15:03:27,83,0.5301,-,-
15:03:25,82,1.3534,-,-
15:03:23,81,0.4837,-,-
15:03:23,80,0.6405,-,-
15:03:21,79,0.5937,-,-
15:03:19,78,0.4472,-,-
15:03:17,77,0.7986,-,-
15:03:17,76,0.9712,-,-
15:03:15,75,0.6148,-,-
15:03:13,74,0.8587,-,-
15:03:11,73,0.4878,-,-
15:03:11,72,0.5996,-,-
15:03:09,71,0.5628,-,-
15:03:07,70,0.4277,-,-
15:03:07,69,0.5921,-,-
15:03:05,68,0.6427,-,-
15:03:03,67,0.5451,-,-
15:03:01,66,0.3257,-,-
15:03:01,65,0.5463,-,-
15:02:59,64,0.6139,-,-
15:02:57,63,0.6423,-,-
15:02:57,62,0.6365,-,-
15:02:55,61,0.7788,-,-
15:02:52,60,0.8127,-,-
15:02:50,59,1.1841,-,-
15:02:50,58,0.9761,-,-
15:02:48,57,0.7944,-,-
15:02:46,56,0.5368,-,-
15:02:46,55,1.0333,-,-
15:02:44,54,0.6797,-,-
15:02:42,53,0.7250,-,-
15:02:40,52,0.9089,-,-
15:02:40,51,0.4622,-,-
15:02:38,50,0.7859,-,-
15:02:36,49,0.6595,-,-
15:02:34,48,0.5991,-,-
15:02:34,47,0.6037,-,-
15:02:32,46,0.9495,-,-
15:02:30,45,0.7113,-,-
15:02:30,44,0.6340,-,-
15:02:28,43,0.4873,-,-
15:02:26,42,1.0252,-,-
15:02:24,41,0.6280,-,-
15:02:24,40,0.7214,-,-
15:02:22,39,0.7267,-,-
15:02:20,38,0.8252,-,-
15:02:20,37,0.7733,-,-
15:02:18,36,0.8928,-,-
15:02:16,35,1.3966,-,-
15:02:14,34,1.0495,-,-
15:02:14,33,0.8636,-,-
15:02:12,32,1.1635,-,-
15:02:10,31,0.9193,-,-
15:02:10,30,0.8689,-,-
15:02:08,29,1.3640,-,-
15:02:06,28,1.0938,-,-
15:02:04,27,0.9783,-,-
15:02:04,26,1.0345,-,-
15:02:02,25,1.2242,-,-
15:02:00,24,0.9841,-,-
15:02:00,23,1.3337,-,-
15:01:58,22,0.9983,-,-
15:01:56,21,1.4243,-,-
15:01:54,20,1.0463,-,-
15:01:54,19,1.0436,-,-
15:01:52,18,1.3002,-,-
15:01:50,17,1.4585,-,-
15:01:50,16,1.4883,-,-
15:01:48,15,1.3800,-,-
15:01:46,14,1.7220,-,-
15:01:44,13,2.0970,-,-
15:01:42,12,1.5015,-,-
15:01:40,11,1.6819,-,-
15:01:35,10,2.4114,-,-
15:01:33,9,2.1602,-,-
15:01:31,8,2.1514,-,-
15:01:29,7,1.8601,-,-
15:01:25,6,2.0846,-,-
15:01:23,5,1.9147,-,-
15:01:21,4,2.0881,-,-
15:01:17,3,2.4613,-,-
15:01:15,2,2.3960,-,-
15:01:13,1,2.6625,-,-
